model,pretrained,corruption,severity,prompt_id,prompt_template,method,n_samples,accuracy,ece,nll,brier,aurc,risk_at_80,elapsed_seconds,seed
ViT-B-32,openai,gaussian_noise,1,p00,a photo of a {label}.,single,10000,0.7423,0.020872949039936067,0.7405011289111173,0.34827625980981664,0.08125199754616516,0.16325,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,p01,a photograph depicting {label}.,single,10000,0.76,0.0697521219536662,0.7238633264908425,0.33742014376378654,0.07585434839551493,0.149875,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,p02,an image of the object {label}.,single,10000,0.7611,0.08878019323647024,0.738751020822978,0.340787931113247,0.0774244702481616,0.1455,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,p03,a picture showing {label}.,single,10000,0.7552,0.04360933043658731,0.7169904535098355,0.3377877161717942,0.07558469002745394,0.1525,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,p04,this image shows {label}.,single,10000,0.7572,0.046806057971715935,0.7075207349894183,0.3333956214374513,0.07405001404922275,0.14925,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,p05,the main subject in this image is {label}.,single,10000,0.737,0.07106389660388229,0.7770578688225998,0.3597404280673747,0.08444923943664757,0.16525,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,p06,the object depicted here is {label}.,single,10000,0.7604,0.1407763303220272,0.8088871292907345,0.3586923456943735,0.07275283088288634,0.147875,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,p07,a visual representation of {label}.,single,10000,0.7216,0.08553476462066173,0.8656906572757541,0.38955813300580805,0.09666226810004745,0.18025,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,p08,an example image of the class {label}.,single,10000,0.7307,0.09333203136622904,0.8688011127732738,0.39607728154321215,0.10690058283007178,0.1805,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,p09,this picture contains {label}.,single,10000,0.7444,0.07680062188506127,0.7786738065603785,0.3529575898832315,0.07877041856100293,0.15525,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,p10,a natural image containing {label}.,single,10000,0.754,0.052792966997623446,0.762513400349721,0.3411020647740468,0.07277936147940041,0.147,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,p11,"{label}, shown in a photograph.",single,10000,0.7662,0.07102374647110701,0.7230082383600331,0.3397402593037976,0.07921471022505774,0.15075,16.1826,20260723
ViT-B-32,openai,gaussian_noise,1,ensemble,mean probability across all frozen prompts,ensemble,10000,0.7665,0.09930744837373494,0.7328208441512262,0.33650294581235973,0.07269424152524556,0.1435,16.1826,20260723
ViT-B-32,openai,gaussian_noise,2,p00,a photo of a {label}.,single,10000,0.6032,0.018147685892879975,1.1181150850800226,0.5069230347430382,0.17494721772423374,0.305,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,p01,a photograph depicting {label}.,single,10000,0.6224,0.05454870186299088,1.1033887747445035,0.49934661112820866,0.1696652559453173,0.291375,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,p02,an image of the object {label}.,single,10000,0.6072,0.06203448261618613,1.143372417502956,0.511194904004647,0.17903498335171056,0.303875,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,p03,a picture showing {label}.,single,10000,0.6249,0.03690678083151578,1.0718065380412962,0.4876934865072,0.16070635098951253,0.2845,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,p04,this image shows {label}.,single,10000,0.6151,0.023679456573724753,1.0677517755290435,0.48795480849560807,0.163648746529917,0.29225,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,p05,the main subject in this image is {label}.,single,10000,0.5826,0.03645505176782608,1.148473667559841,0.5201492594558718,0.1859923830661948,0.3275,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,p06,the object depicted here is {label}.,single,10000,0.6292,0.1287292607501149,1.1547222991602633,0.505044684634727,0.15321141255262175,0.278125,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,p07,a visual representation of {label}.,single,10000,0.5776,0.057156756599247446,1.2377085791615514,0.5419717373876735,0.19603699294497554,0.3325,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,p08,an example image of the class {label}.,single,10000,0.5804,0.058971734733879545,1.2874239052309653,0.5590719130053688,0.21605120190814542,0.337125,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,p09,this picture contains {label}.,single,10000,0.5946,0.04797005461007357,1.1716936010016097,0.5139001329362052,0.17263767134051644,0.311,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,p10,a natural image containing {label}.,single,10000,0.6198,0.036321313866972925,1.126074907464237,0.4902718684947211,0.15457803901462416,0.281875,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,p11,"{label}, shown in a photograph.",single,10000,0.6345,0.06320842279344799,1.0803818261714135,0.49013747992324336,0.16452852016594247,0.281125,15.7517,20260723
ViT-B-32,openai,gaussian_noise,2,ensemble,mean probability across all frozen prompts,ensemble,10000,0.6302,0.08145163833200933,1.0896846720247602,0.49098671407870614,0.1595656014775609,0.279125,15.7517,20260723
ViT-B-32,openai,gaussian_noise,3,p00,a photo of a {label}.,single,10000,0.4603,0.06076193548887966,1.4871158645920906,0.6500700627911012,0.30708368550016635,0.46975,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,p01,a photograph depicting {label}.,single,10000,0.4823,0.021414194719493383,1.4707092779798734,0.6410547724864968,0.2961791553429026,0.448625,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,p02,an image of the object {label}.,single,10000,0.4627,0.036271884453296675,1.545861116223183,0.6587782787015464,0.31396247548918593,0.464875,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,p03,a picture showing {label}.,single,10000,0.4918,0.026577946522831918,1.419004710125743,0.6234773917676102,0.27814569408106105,0.430625,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,p04,this image shows {label}.,single,10000,0.4808,0.02423123029768467,1.4133490249500562,0.6241537523890022,0.28326795671557803,0.4455,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,p05,the main subject in this image is {label}.,single,10000,0.4328,0.059424241463840025,1.4985915311780449,0.6597392603979946,0.32558155977562875,0.503625,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,p06,the object depicted here is {label}.,single,10000,0.4965,0.08809866724312304,1.4626916204179414,0.6271872508536462,0.26285723571426606,0.42675,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,p07,a visual representation of {label}.,single,10000,0.4411,0.03631710347235204,1.5670602829113134,0.6702286457082971,0.3265674573077159,0.49275,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,p08,an example image of the class {label}.,single,10000,0.4386,0.03953417482972142,1.7109014326104997,0.6982783208144888,0.35492737952317854,0.494875,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,p09,this picture contains {label}.,single,10000,0.4645,0.03384478791356086,1.525288971626255,0.6461080965857241,0.2910333489269279,0.46275,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,p10,a natural image containing {label}.,single,10000,0.493,0.02560435750037431,1.461420579505696,0.6212043113225142,0.26435316257483227,0.427875,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,p11,"{label}, shown in a photograph.",single,10000,0.4911,0.029278476719558234,1.4456032553889475,0.6303424705205072,0.28832185208758854,0.437875,15.8598,20260723
ViT-B-32,openai,gaussian_noise,3,ensemble,mean probability across all frozen prompts,ensemble,10000,0.489,0.03907710278034211,1.4269935703939787,0.6260569813250618,0.2832138222803163,0.43825,15.8598,20260723
ViT-B-32,openai,gaussian_noise,4,p00,a photo of a {label}.,single,10000,0.4102,0.07681581398546694,1.639920626840671,0.7018282943594595,0.36410993763329097,0.531,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,p01,a photograph depicting {label}.,single,10000,0.4365,0.020993424803018582,1.6268182845374577,0.6923612351198066,0.34966988403505483,0.5015,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,p02,an image of the object {label}.,single,10000,0.4124,0.03565327224135399,1.7119491183570243,0.7120012167596195,0.3729786365941498,0.519125,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,p03,a picture showing {label}.,single,10000,0.4461,0.023289599061012262,1.5662047398996628,0.6739506462378139,0.33040756580903696,0.48625,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,p04,this image shows {label}.,single,10000,0.4315,0.0373397263750434,1.5568326922315,0.6742016150959851,0.33522104967708344,0.498625,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,p05,the main subject in this image is {label}.,single,10000,0.3769,0.08608510122299194,1.6411546923365448,0.7102848881723947,0.3875243036022677,0.567625,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,p06,the object depicted here is {label}.,single,10000,0.4504,0.07606418396234513,1.5852856689240074,0.6719334243105745,0.3107225611392697,0.48,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,p07,a visual representation of {label}.,single,10000,0.3859,0.04875312382280826,1.702207332535509,0.7176623047846572,0.3876525155795741,0.55825,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,p08,an example image of the class {label}.,single,10000,0.3882,0.03796437558233738,1.8909992565047065,0.7483776105399657,0.4132659260045856,0.551625,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,p09,this picture contains {label}.,single,10000,0.4143,0.04160173469483852,1.6684110160753494,0.6939070288248332,0.3446470006972582,0.52075,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,p10,a natural image containing {label}.,single,10000,0.4405,0.03131958968043328,1.6023142275318203,0.672156233222317,0.31728199199979024,0.48575,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,p11,"{label}, shown in a photograph.",single,10000,0.4388,0.02683040101528165,1.601814562591881,0.6834519802891268,0.34402923223652343,0.4975,15.8602,20260723
ViT-B-32,openai,gaussian_noise,4,ensemble,mean probability across all frozen prompts,ensemble,10000,0.4348,0.03660152869522572,1.5663666224497714,0.6757168559826817,0.3373839510116655,0.498125,15.8602,20260723
ViT-B-32,openai,gaussian_noise,5,p00,a photo of a {label}.,single,10000,0.3548,0.10289663625508548,1.7920615198638095,0.7524564570382534,0.4328976268510533,0.59175,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,p01,a photograph depicting {label}.,single,10000,0.3799,0.03152351042628288,1.7788439662117868,0.7434901754018302,0.4179766707118226,0.564,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,p02,an image of the object {label}.,single,10000,0.3552,0.05653204362094403,1.8772901596726108,0.7621377495029629,0.44428355842238354,0.58675,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,p03,a picture showing {label}.,single,10000,0.3906,0.04126879452019929,1.714797466895429,0.7249723929068619,0.39698225224690786,0.5495,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,p04,this image shows {label}.,single,10000,0.378,0.05769740055948496,1.7002706065089976,0.723797953162629,0.40163268594088114,0.56525,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,p05,the main subject in this image is {label}.,single,10000,0.3266,0.1126875937446952,1.78067104866789,0.759037466216976,0.45668717218743377,0.627375,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,p06,the object depicted here is {label}.,single,10000,0.3953,0.05393185984343291,1.7024782643960967,0.7152094253461507,0.37561574557022437,0.541875,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,p07,a visual representation of {label}.,single,10000,0.3275,0.07264812801927327,1.8281315514271532,0.7627622165845205,0.4608343947994961,0.623125,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,p08,an example image of the class {label}.,single,10000,0.3419,0.05359992914050817,2.066558987159352,0.7951194570368291,0.48072868594621104,0.609875,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,p09,this picture contains {label}.,single,10000,0.369,0.05087485671490432,1.804482005935487,0.7389231836485561,0.40495731615653374,0.57525,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,p10,a natural image containing {label}.,single,10000,0.3888,0.05117892233878375,1.7369532529117488,0.7222480795867996,0.3821196205028507,0.551375,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,p11,"{label}, shown in a photograph.",single,10000,0.3767,0.04413963138610125,1.75725703788085,0.736127386412272,0.41700625274076847,0.567875,16.3885,20260723
ViT-B-32,openai,gaussian_noise,5,ensemble,mean probability across all frozen prompts,ensemble,10000,0.3802,0.03013855056166648,1.7022451828543956,0.7240668955709209,0.4074640779611725,0.566,16.3885,20260723
ViT-B-32,openai,shot_noise,1,p00,a photo of a {label}.,single,10000,0.8016,0.03525294831544161,0.5846799921963475,0.2765310658521858,0.05185987830812128,0.10625,16.0629,20260723
ViT-B-32,openai,shot_noise,1,p01,a photograph depicting {label}.,single,10000,0.8216,0.08190076229125262,0.5663802544844583,0.26375319043215056,0.045720178615727976,0.09225,16.0629,20260723
ViT-B-32,openai,shot_noise,1,p02,an image of the object {label}.,single,10000,0.8248,0.1027080631226301,0.5824419151973647,0.26708886139778504,0.046694597232476646,0.090375,16.0629,20260723
ViT-B-32,openai,shot_noise,1,p03,a picture showing {label}.,single,10000,0.8127,0.0517383523389697,0.5620381473794378,0.26644756610121934,0.04759436265505927,0.0995,16.0629,20260723
ViT-B-32,openai,shot_noise,1,p04,this image shows {label}.,single,10000,0.8187,0.06093387204706673,0.5568157998982078,0.26266597909649564,0.04636720191154532,0.099,16.0629,20260723
ViT-B-32,openai,shot_noise,1,p05,the main subject in this image is {label}.,single,10000,0.8059,0.09423231810480356,0.622131221867306,0.287618622605728,0.05327168974450839,0.10775,16.0629,20260723
ViT-B-32,openai,shot_noise,1,p06,the object depicted here is {label}.,single,10000,0.8157,0.14375394063889982,0.6573800830829226,0.2912704813391525,0.04739474048862157,0.09875,16.0629,20260723
ViT-B-32,openai,shot_noise,1,p07,a visual representation of {label}.,single,10000,0.7855,0.10073012051582335,0.7031885621742394,0.31663714439938856,0.06337444732674394,0.123875,16.0629,20260723
ViT-B-32,openai,shot_noise,1,p08,an example image of the class {label}.,single,10000,0.7971,0.11563412391096355,0.7058293727143293,0.32126196718629624,0.06830982688488423,0.12275,16.0629,20260723
ViT-B-32,openai,shot_noise,1,p09,this picture contains {label}.,single,10000,0.8074,0.09246603646427397,0.6218494292200422,0.28206120400130186,0.05103190610395688,0.101375,16.0629,20260723
ViT-B-32,openai,shot_noise,1,p10,a natural image containing {label}.,single,10000,0.8106,0.062456605783104885,0.6046280793578097,0.2734648437803153,0.04856938860782445,0.096875,16.0629,20260723
ViT-B-32,openai,shot_noise,1,p11,"{label}, shown in a photograph.",single,10000,0.8204,0.07653009497225287,0.574330328046489,0.27026148522268784,0.05075220782723408,0.102125,16.0629,20260723
ViT-B-32,openai,shot_noise,1,ensemble,mean probability across all frozen prompts,ensemble,10000,0.8263,0.10881180460006001,0.5843242753545457,0.26681564665311075,0.04533887514021871,0.092875,16.0629,20260723
ViT-B-32,openai,shot_noise,2,p00,a photo of a {label}.,single,10000,0.7302,0.024081712199747567,0.7763533981935165,0.3638440677934979,0.08915348749838206,0.174625,15.9245,20260723
ViT-B-32,openai,shot_noise,2,p01,a photograph depicting {label}.,single,10000,0.7473,0.07546770966500045,0.7642255151480143,0.3530968211739738,0.08228995367075258,0.16,15.9245,20260723
ViT-B-32,openai,shot_noise,2,p02,an image of the object {label}.,single,10000,0.7446,0.08862129816114904,0.7778573603728733,0.357149978123824,0.08513860877958952,0.160375,15.9245,20260723
ViT-B-32,openai,shot_noise,2,p03,a picture showing {label}.,single,10000,0.7444,0.04929678975343701,0.7453902619689338,0.34922803881691317,0.08081832427971625,0.16075,15.9245,20260723
ViT-B-32,openai,shot_noise,2,p04,this image shows {label}.,single,10000,0.7474,0.05076764582842591,0.7393442485484502,0.34678549646776186,0.08029730032265185,0.161625,15.9245,20260723
ViT-B-32,openai,shot_noise,2,p05,the main subject in this image is {label}.,single,10000,0.7238,0.07023377075344325,0.8116508349795912,0.3747067434459076,0.09241399407580139,0.182625,15.9245,20260723
ViT-B-32,openai,shot_noise,2,p06,the object depicted here is {label}.,single,10000,0.7518,0.1473692340582609,0.8343537496582907,0.369481813586462,0.07638565187030896,0.1535,15.9245,20260723
ViT-B-32,openai,shot_noise,2,p07,a visual representation of {label}.,single,10000,0.7067,0.08443491875976322,0.9046185220034189,0.4044302845864215,0.1035186998402391,0.193625,15.9245,20260723
ViT-B-32,openai,shot_noise,2,p08,an example image of the class {label}.,single,10000,0.7136,0.09337054166197777,0.9189336710610331,0.4146480844738371,0.11538033684688843,0.197875,15.9245,20260723
ViT-B-32,openai,shot_noise,2,p09,this picture contains {label}.,single,10000,0.7295,0.07654405608177185,0.8188578478482573,0.36989608948578984,0.08648628363908809,0.171625,15.9245,20260723
ViT-B-32,openai,shot_noise,2,p10,a natural image containing {label}.,single,10000,0.7447,0.05690431273877623,0.7879988689645688,0.3544414521305913,0.07914738139902623,0.161125,15.9245,20260723
ViT-B-32,openai,shot_noise,2,p11,"{label}, shown in a photograph.",single,10000,0.7549,0.07770667407810687,0.7580569844461991,0.35231074282925773,0.08388016187611647,0.1615,15.9245,20260723
ViT-B-32,openai,shot_noise,2,ensemble,mean probability across all frozen prompts,ensemble,10000,0.7552,0.1031125970095396,0.7676853168605923,0.3513849896817555,0.07878427748997281,0.155125,15.9245,20260723
ViT-B-32,openai,shot_noise,3,p00,a photo of a {label}.,single,10000,0.5595,0.01661965498775244,1.2342308751399262,0.5522946826488945,0.20940779149909894,0.35625,15.8709,20260723
ViT-B-32,openai,shot_noise,3,p01,a photograph depicting {label}.,single,10000,0.577,0.051666756819188614,1.2231481500972827,0.5447696737272841,0.19914883278447257,0.3395,15.8709,20260723
ViT-B-32,openai,shot_noise,3,p02,an image of the object {label}.,single,10000,0.5622,0.06234379387348891,1.2671967585616184,0.5576116587888815,0.21102236702902125,0.348875,15.8709,20260723
ViT-B-32,openai,shot_noise,3,p03,a picture showing {label}.,single,10000,0.5875,0.04122974795997142,1.1752619010034935,0.5280188453642067,0.18742128617591014,0.326,15.8709,20260723
ViT-B-32,openai,shot_noise,3,p04,this image shows {label}.,single,10000,0.576,0.02635069593787194,1.1757165329759205,0.5303291753339286,0.19359523200921297,0.33575,15.8709,20260723
ViT-B-32,openai,shot_noise,3,p05,the main subject in this image is {label}.,single,10000,0.5317,0.0357595840215683,1.2604507443711868,0.565204111920218,0.22423430145120593,0.386125,15.8709,20260723
ViT-B-32,openai,shot_noise,3,p06,the object depicted here is {label}.,single,10000,0.5921,0.1281683562025428,1.24410028750103,0.5418826492613432,0.17898445380452782,0.319,15.8709,20260723
ViT-B-32,openai,shot_noise,3,p07,a visual representation of {label}.,single,10000,0.53,0.05037221322357655,1.3437642094691549,0.5829412083921018,0.23015604465604989,0.38575,15.8709,20260723
ViT-B-32,openai,shot_noise,3,p08,an example image of the class {label}.,single,10000,0.5287,0.05434125069230793,1.434910387541295,0.6068549759977222,0.2500824036243771,0.39025,15.8709,20260723
ViT-B-32,openai,shot_noise,3,p09,this picture contains {label}.,single,10000,0.5548,0.03627849520593882,1.2927278048943651,0.5602263991313197,0.2068670198075359,0.36275,15.8709,20260723
ViT-B-32,openai,shot_noise,3,p10,a natural image containing {label}.,single,10000,0.5805,0.030981774871051308,1.2242726955759435,0.5332512880812639,0.18622604450275912,0.330625,15.8709,20260723
ViT-B-32,openai,shot_noise,3,p11,"{label}, shown in a photograph.",single,10000,0.5892,0.06122826946079731,1.198283195982018,0.5354186860262986,0.19390847318825535,0.32775,15.8709,20260723
ViT-B-32,openai,shot_noise,3,ensemble,mean probability across all frozen prompts,ensemble,10000,0.585,0.07283864608407022,1.200185771381147,0.5352276152560764,0.19175584250828562,0.33,15.8709,20260723
ViT-B-32,openai,shot_noise,4,p00,a photo of a {label}.,single,10000,0.4874,0.043714259581267824,1.421452302087293,0.6214678448437029,0.27530214358079463,0.43575,15.9911,20260723
ViT-B-32,openai,shot_noise,4,p01,a photograph depicting {label}.,single,10000,0.5099,0.0342088158518076,1.4143226928244008,0.6152384706521972,0.26268147806604536,0.41475,15.9911,20260723
ViT-B-32,openai,shot_noise,4,p02,an image of the object {label}.,single,10000,0.4922,0.04710408912301063,1.472146318021277,0.6306142291764778,0.28040749655055786,0.42775,15.9911,20260723
ViT-B-32,openai,shot_noise,4,p03,a picture showing {label}.,single,10000,0.5223,0.03087187864035368,1.3528526540958676,0.5948510470168095,0.24723558448006897,0.39825,15.9911,20260723
ViT-B-32,openai,shot_noise,4,p04,this image shows {label}.,single,10000,0.5148,0.020771860982477672,1.3524352343773156,0.5964592289974435,0.2511727435810618,0.40825,15.9911,20260723
ViT-B-32,openai,shot_noise,4,p05,the main subject in this image is {label}.,single,10000,0.4651,0.04387727969884872,1.4373595857352757,0.6317113568742323,0.2896816138307754,0.464125,15.9911,20260723
ViT-B-32,openai,shot_noise,4,p06,the object depicted here is {label}.,single,10000,0.5338,0.1150422469072044,1.3978144812162332,0.6017955067742873,0.23163583182953398,0.38125,15.9911,20260723
ViT-B-32,openai,shot_noise,4,p07,a visual representation of {label}.,single,10000,0.4693,0.04331190340220928,1.5087736299187786,0.6447447492000123,0.2922959595344285,0.4585,15.9911,20260723
ViT-B-32,openai,shot_noise,4,p08,an example image of the class {label}.,single,10000,0.4546,0.050942329880595216,1.6540063581389763,0.6755092800751532,0.3232408902585523,0.476,15.9911,20260723
ViT-B-32,openai,shot_noise,4,p09,this picture contains {label}.,single,10000,0.4888,0.03534874206036331,1.4715921060842856,0.6241853514951338,0.2670347424684565,0.435375,15.9911,20260723
ViT-B-32,openai,shot_noise,4,p10,a natural image containing {label}.,single,10000,0.5218,0.020076579488813875,1.3934306906636686,0.5967246372116863,0.24039414648887533,0.398,15.9911,20260723
ViT-B-32,openai,shot_noise,4,p11,"{label}, shown in a photograph.",single,10000,0.5191,0.03759090280383824,1.3881709633752337,0.6048999824972949,0.2571221951058548,0.405125,15.9911,20260723
ViT-B-32,openai,shot_noise,4,ensemble,mean probability across all frozen prompts,ensemble,10000,0.5175,0.051270656189322465,1.3721716787697527,0.6014180075739943,0.2523977673763188,0.4045,15.9911,20260723
ViT-B-32,openai,shot_noise,5,p00,a photo of a {label}.,single,10000,0.3993,0.07357608006447554,1.6869905149770874,0.7148210438827975,0.37933815793093856,0.539625,15.9465,20260723
ViT-B-32,openai,shot_noise,5,p01,a photograph depicting {label}.,single,10000,0.4193,0.017203122346103175,1.6824430833628514,0.7093945956571679,0.36917894634340753,0.520125,15.9465,20260723
ViT-B-32,openai,shot_noise,5,p02,an image of the object {label}.,single,10000,0.3971,0.04391842890381812,1.7596335438027992,0.7271415530148396,0.3942819809283647,0.541625,15.9465,20260723
ViT-B-32,openai,shot_noise,5,p03,a picture showing {label}.,single,10000,0.4351,0.03200946996361018,1.6072588905842682,0.6871773600783315,0.34560726808905623,0.49975,15.9465,20260723
ViT-B-32,openai,shot_noise,5,p04,this image shows {label}.,single,10000,0.4296,0.03002973690032959,1.602129244505559,0.6864752946932141,0.347451645770422,0.507875,15.9465,20260723
ViT-B-32,openai,shot_noise,5,p05,the main subject in this image is {label}.,single,10000,0.3664,0.08034710437208414,1.6836041963527353,0.7211420572992845,0.4011266761875705,0.578125,15.9465,20260723
ViT-B-32,openai,shot_noise,5,p06,the object depicted here is {label}.,single,10000,0.4506,0.08978780883774162,1.6077586235551509,0.6810568881774538,0.3207477143643675,0.48125,15.9465,20260723
ViT-B-32,openai,shot_noise,5,p07,a visual representation of {label}.,single,10000,0.3801,0.04284934378117324,1.7324458842862274,0.7265099513491399,0.39876488711716884,0.566375,15.9465,20260723
ViT-B-32,openai,shot_noise,5,p08,an example image of the class {label}.,single,10000,0.3649,0.05619211911410095,1.9614240572797954,0.765613210156724,0.4333379134917537,0.581,15.9465,20260723
ViT-B-32,openai,shot_noise,5,p09,this picture contains {label}.,single,10000,0.4028,0.040781835186481485,1.7171942574986188,0.7091889254571466,0.364198162719405,0.5335,15.9465,20260723
ViT-B-32,openai,shot_noise,5,p10,a natural image containing {label}.,single,10000,0.4304,0.03384848226159812,1.6359376807276913,0.6867700442958038,0.3364763470874189,0.503125,15.9465,20260723
ViT-B-32,openai,shot_noise,5,p11,"{label}, shown in a photograph.",single,10000,0.421,0.02996762739419938,1.6584379451648001,0.7003920132182906,0.3637382797754605,0.516375,15.9465,20260723
ViT-B-32,openai,shot_noise,5,ensemble,mean probability across all frozen prompts,ensemble,10000,0.4259,0.03243954573273658,1.612579872643929,0.6905412176839815,0.3549372523426293,0.507625,15.9465,20260723
ViT-B-32,openai,impulse_noise,1,p00,a photo of a {label}.,single,10000,0.8038,0.03946311197727918,0.5899959653380998,0.2728069429423749,0.047715108156608406,0.099125,16.0246,20260723
ViT-B-32,openai,impulse_noise,1,p01,a photograph depicting {label}.,single,10000,0.828,0.0851957173153758,0.5665294607053752,0.258668770562035,0.04491891785804575,0.087125,16.0246,20260723
ViT-B-32,openai,impulse_noise,1,p02,an image of the object {label}.,single,10000,0.7988,0.10866634934097527,0.6776322647344094,0.3059480380396032,0.05943388360373801,0.110125,16.0246,20260723
ViT-B-32,openai,impulse_noise,1,p03,a picture showing {label}.,single,10000,0.8223,0.058412871365249155,0.5509405388973233,0.256731746378166,0.043149104532382486,0.089375,16.0246,20260723
